record_id,emp_id,course_name,category,hours,enrollment_date,completion_date,status,score
31,9,Data Analysis with SQL,Technical,20,2024-08-24,,In Progress,
32,9,Leadership Fundamentals,Leadership,16,2024-01-03,,In Progress,
33,10,Data Analysis with SQL,Technical,20,2023-05-09,2023-07-30,Completed,96
34,10,Advanced Python,Technical,24,2022-04-25,2022-07-21,Completed,97
35,10,Project Management Basics,Professional,12,2024-03-06,2024-04-11,Completed,75
36,11,Customer Service Excellence,Soft Skills,8,2024-09-24,,In Progress,
37,11,Cloud Architecture,Technical,32,2023-10-21,,Enrolled,
38,11,Agile & Scrum,Professional,16,2024-09-17,,In Progress,
39,12,Customer Service Excellence,Soft Skills,8,2025-07-02,,In Progress,
40,12,Project Management Basics,Professional,12,2024-12-26,2025-03-12,Completed,71
41,12,Agile & Scrum,Professional,16,2024-05-16,2024-06-28,Completed,89
42,13,Leadership Fundamentals,Leadership,16,2022-01-02,2022-02-10,Completed,95
43,13,Machine Learning Basics,Technical,24,2022-09-25,2022-10-31,Completed,99
44,13,Financial Modeling,Technical,20,2023-10-25,2023-11-10,Completed,74
45,14,Agile & Scrum,Professional,16,2024-01-18,2024-03-19,Completed,92
46,14,Advanced Python,Technical,24,2024-03-21,,In Progress,
47,14,Machine Learning Basics,Technical,24,2022-07-26,2022-09-16,Completed,80
48,15,Data Analysis with SQL,Technical,20,2025-03-11,,Enrolled,
49,15,Cybersecurity Awareness,Compliance,4,2024-09-18,2024-12-12,Completed,92
50,15,Sales Methodology,Sales,16,2025-07-19,2025-08-30,Completed,91
51,16,Sales Methodology,Sales,16,2023-12-29,2024-02-03,Completed,93
52,16,Communication Skills,Soft Skills,8,2022-05-08,,Enrolled,
53,16,Cybersecurity Awareness,Compliance,4,2025-07-21,2025-10-15,Completed,71
54,17,Customer Service Excellence,Soft Skills,8,2025-06-06,2025-08-31,Completed,73
55,17,Cloud Architecture,Technical,32,2024-10-13,2024-12-08,Completed,93
56,17,Agile & Scrum,Professional,16,2022-06-09,2022-08-06,Completed,80
57,18,Diversity & Inclusion,Compliance,4,2025-04-26,,Enrolled,
58,18,Advanced Python,Technical,24,2025-06-25,2025-09-04,Completed,70
59,18,Cybersecurity Awareness,Compliance,4,2024-03-07,2024-04-21,Completed,92
60,19,Cloud Architecture,Technical,32,2022-08-10,,Enrolled,
61,19,Communication Skills,Soft Skills,8,2022-01-03,2022-03-07,Completed,84
62,20,Data Analysis with SQL,Technical,20,2025-01-23,2025-02-18,Completed,96
63,20,Sales Methodology,Sales,16,2024-09-08,,In Progress,
64,20,Financial Modeling,Technical,20,2023-04-07,2023-06-17,Completed,72
65,20,Public Speaking,Soft Skills,12,2022-03-10,2022-03-26,Completed,80
66,20,Cloud Architecture,Technical,32,2023-06-19,2023-07-12,Completed,80
67,21,Negotiation Skills,Professional,12,2022-06-03,,In Progress,
68,21,Sales Methodology,Sales,16,2022-07-10,2022-10-08,Completed,89
69,21,Data Analysis with SQL,Technical,20,2024-09-15,,Enrolled,
70,22,Sales Methodology,Sales,16,2023-02-07,,In Progress,
71,22,Diversity & Inclusion,Compliance,4,2024-08-12,2024-09-01,Completed,73
72,23,Project Management Basics,Professional,12,2025-02-08,,Enrolled,
73,23,Negotiation Skills,Professional,12,2025-01-11,2025-03-02,Completed,79
74,23,Sales Methodology,Sales,16,2023-05-02,2023-05-22,Completed,82
75,23,Cybersecurity Awareness,Compliance,4,2025-03-16,,In Progress,
76,24,Data Analysis with SQL,Technical,20,2023-06-24,2023-09-22,Completed,85
77,24,Leadership Fundamentals,Leadership,16,2023-10-17,2023-11-03,Completed,76
78,24,Cloud Architecture,Technical,32,2023-09-17,,Enrolled,
79,24,Public Speaking,Soft Skills,12,2024-01-19,2024-04-02,Completed,97
80,24,Sales Methodology,Sales,16,2023-07-23,2023-09-25,Completed,85
81,25,Negotiation Skills,Professional,12,2025-01-19,2025-02-25,Completed,81
82,25,Diversity & Inclusion,Compliance,4,2024-02-21,2024-03-29,Completed,84
83,25,Communication Skills,Soft Skills,8,2022-04-02,2022-06-11,Completed,84
84,25,Advanced Python,Technical,24,2023-06-24,2023-08-11,Completed,88
85,25,Public Speaking,Soft Skills,12,2022-05-07,2022-06-02,Completed,72
86,26,Agile & Scrum,Professional,16,2023-04-11,,In Progress,
87,26,Machine Learning Basics,Technical,24,2022-05-05,2022-07-24,Completed,83
88,26,Sales Methodology,Sales,16,2025-01-01,,Enrolled,
89,26,Customer Service Excellence,Soft Skills,8,2024-08-30,,In Progress,
90,27,Financial Modeling,Technical,20,2024-03-19,,Enrolled,
91,27,Communication Skills,Soft Skills,8,2022-03-13,,In Progress,
92,27,Advanced Python,Technical,24,2025-03-15,,In Progress,
93,28,Advanced Python,Technical,24,2022-12-21,2023-01-31,Completed,95
94,28,Agile & Scrum,Professional,16,2023-01-30,2023-02-18,Completed,83
95,28,Financial Modeling,Technical,20,2022-06-10,,Enrolled,
96,29,Project Management Basics,Professional,12,2023-06-13,2023-07-05,Completed,72
97,29,Public Speaking,Soft Skills,12,2024-03-05,,In Progress,
98,29,Diversity & Inclusion,Compliance,4,2024-03-24,,In Progress,
99,29,Data Analysis with SQL,Technical,20,2023-10-30,2024-01-18,Completed,84
100,29,Customer Service Excellence,Soft Skills,8,2022-01-26,,Enrolled,
101,30,Advanced Python,Technical,24,2023-03-09,2023-06-03,Completed,94
102,30,Sales Methodology,Sales,16,2023-03-10,2023-05-31,Completed,98
103,30,Data Analysis with SQL,Technical,20,2024-07-20,2024-09-05,Completed,82
104,30,Agile & Scrum,Professional,16,2025-05-06,,In Progress,
105,30,Customer Service Excellence,Soft Skills,8,2025-04-10,2025-05-16,Completed,78
106,31,Data Analysis with SQL,Technical,20,2022-03-21,2022-05-16,Completed,92
107,31,Customer Service Excellence,Soft Skills,8,2023-05-02,2023-07-15,Completed,99
108,31,Public Speaking,Soft Skills,12,2023-07-05,2023-07-21,Completed,80
109,31,Diversity & Inclusion,Compliance,4,2023-09-13,2023-11-01,Completed,96
110,31,Sales Methodology,Sales,16,2024-10-03,,Enrolled,
111,32,Public Speaking,Soft Skills,12,2022-10-03,2022-12-12,Completed,94
112,32,Project Management Basics,Professional,12,2023-10-20,2023-12-26,Completed,89
113,33,Project Management Basics,Professional,12,2025-05-17,2025-08-01,Completed,94
114,33,Financial Modeling,Technical,20,2025-06-27,2025-09-14,Completed,95
115,34,Advanced Python,Technical,24,2024-11-03,2024-12-04,Completed,94
116,34,Communication Skills,Soft Skills,8,2024-12-09,,In Progress,
117,34,Cybersecurity Awareness,Compliance,4,2022-03-01,2022-04-08,Completed,98
118,35,Public Speaking,Soft Skills,12,2024-12-05,2024-12-25,Completed,99
119,35,Leadership Fundamentals,Leadership,16,2025-02-27,,Enrolled,
120,35,Project Management Basics,Professional,12,2025-01-16,2025-03-18,Completed,96
121,36,Machine Learning Basics,Technical,24,2023-03-18,2023-05-18,Completed,85
122,36,Sales Methodology,Sales,16,2024-10-15,2024-11-20,Completed,100
123,36,Diversity & Inclusion,Compliance,4,2025-07-25,2025-10-22,Completed,87
124,36,Advanced Python,Technical,24,2024-02-08,2024-03-13,Completed,96
125,36,Agile & Scrum,Professional,16,2023-11-06,,Enrolled,
126,37,Communication Skills,Soft Skills,8,2024-11-11,2024-12-15,Completed,97
127,37,Leadership Fundamentals,Leadership,16,2025-05-20,2025-07-01,Completed,90
128,38,Diversity & Inclusion,Compliance,4,2024-04-18,,In Progress,
129,38,Project Management Basics,Professional,12,2022-02-11,,Enrolled,
130,38,Communication Skills,Soft Skills,8,2022-01-19,2022-02-18,Completed,90
131,39,Customer Service Excellence,Soft Skills,8,2023-04-04,2023-05-27,Completed,92
132,39,Agile & Scrum,Professional,16,2023-07-18,2023-09-18,Completed,97
133,39,Leadership Fundamentals,Leadership,16,2023-12-16,2024-01-31,Completed,76
134,40,Communication Skills,Soft Skills,8,2025-04-12,2025-04-26,Completed,86
135,40,Diversity & Inclusion,Compliance,4,2024-02-06,,In Progress,
136,40,Machine Learning Basics,Technical,24,2025-05-01,,In Progress,
137,40,Customer Service Excellence,Soft Skills,8,2023-08-02,2023-08-29,Completed,85
138,40,Sales Methodology,Sales,16,2022-05-11,2022-06-29,Completed,90
139,41,Public Speaking,Soft Skills,12,2023-09-04,2023-10-07,Completed,86
140,41,Communication Skills,Soft Skills,8,2023-05-08,2023-08-06,Completed,82
141,41,Negotiation Skills,Professional,12,2023-10-17,,Enrolled,
142,41,Diversity & Inclusion,Compliance,4,2022-10-14,,Enrolled,
143,42,Diversity & Inclusion,Compliance,4,2023-10-08,2023-12-14,Completed,82
144,42,Financial Modeling,Technical,20,2024-01-11,,Enrolled,
145,43,Customer Service Excellence,Soft Skills,8,2025-03-17,2025-05-13,Completed,93
146,43,Cybersecurity Awareness,Compliance,4,2023-04-01,,Enrolled,
147,44,Negotiation Skills,Professional,12,2022-12-15,,Enrolled,
148,44,Diversity & Inclusion,Compliance,4,2025-02-17,2025-04-09,Completed,73
149,44,Cloud Architecture,Technical,32,2024-08-22,2024-10-08,Completed,93
150,44,Machine Learning Basics,Technical,24,2025-02-18,2025-04-15,Completed,90
151,44,Communication Skills,Soft Skills,8,2022-07-02,2022-08-30,Completed,77
152,45,Sales Methodology,Sales,16,2023-06-26,,In Progress,
153,45,Agile & Scrum,Professional,16,2023-09-03,2023-10-02,Completed,85
154,45,Cloud Architecture,Technical,32,2022-04-28,,Enrolled,
155,45,Public Speaking,Soft Skills,12,2025-04-18,,In Progress,
156,46,Financial Modeling,Technical,20,2024-06-29,2024-08-30,Completed,86
157,46,Project Management Basics,Professional,12,2023-12-05,2023-12-25,Completed,97
158,47,Data Analysis with SQL,Technical,20,2024-04-18,,In Progress,
159,47,Project Management Basics,Professional,12,2024-07-26,2024-09-18,Completed,97
160,47,Cloud Architecture,Technical,32,2023-01-05,2023-03-22,Completed,80
161,48,Cloud Architecture,Technical,32,2022-01-10,2022-02-28,Completed,76
162,48,Diversity & Inclusion,Compliance,4,2022-12-12,,In Progress,
163,48,Leadership Fundamentals,Leadership,16,2022-11-21,2022-12-16,Completed,74
164,49,Diversity & Inclusion,Compliance,4,2024-05-31,2024-06-18,Completed,87
165,49,Sales Methodology,Sales,16,2023-05-20,,Enrolled,
166,49,Public Speaking,Soft Skills,12,2024-05-10,2024-07-04,Completed,94
167,49,Agile & Scrum,Professional,16,2025-03-29,2025-04-14,Completed,91
168,49,Financial Modeling,Technical,20,2022-04-15,,Enrolled,
169,50,Project Management Basics,Professional,12,2023-10-02,2023-10-29,Completed,82
170,50,Cybersecurity Awareness,Compliance,4,2024-10-27,,In Progress,
171,50,Cloud Architecture,Technical,32,2023-09-19,2023-10-11,Completed,96
172,51,Communication Skills,Soft Skills,8,2024-07-22,,Enrolled,
173,51,Negotiation Skills,Professional,12,2024-12-01,,In Progress,
174,52,Sales Methodology,Sales,16,2024-07-02,2024-08-09,Completed,75
175,52,Diversity & Inclusion,Compliance,4,2025-05-28,2025-06-13,Completed,77
176,52,Data Analysis with SQL,Technical,20,2023-10-04,,Enrolled,
177,52,Cloud Architecture,Technical,32,2023-07-01,2023-07-17,Completed,88
178,53,Advanced Python,Technical,24,2025-03-28,2025-05-29,Completed,98
179,53,Cloud Architecture,Technical,32,2025-03-17,2025-06-07,Completed,89
180,53,Cybersecurity Awareness,Compliance,4,2023-07-20,,In Progress,
181,54,Diversity & Inclusion,Compliance,4,2024-03-15,2024-04-12,Completed,83
182,54,Advanced Python,Technical,24,2025-05-23,2025-06-21,Completed,87
183,55,Financial Modeling,Technical,20,2022-02-19,2022-04-27,Completed,91
184,55,Cybersecurity Awareness,Compliance,4,2022-08-25,,Enrolled,
185,55,Data Analysis with SQL,Technical,20,2024-12-31,2025-01-31,Completed,83
186,55,Project Management Basics,Professional,12,2022-09-02,,In Progress,
187,56,Communication Skills,Soft Skills,8,2024-02-26,2024-04-05,Completed,89
188,56,Advanced Python,Technical,24,2024-06-01,2024-08-20,Completed,76
189,57,Cybersecurity Awareness,Compliance,4,2022-09-07,,In Progress,
190,57,Sales Methodology,Sales,16,2025-03-31,2025-06-14,Completed,80
191,57,Communication Skills,Soft Skills,8,2023-10-12,2023-10-27,Completed,91
192,57,Data Analysis with SQL,Technical,20,2022-12-18,2023-03-15,Completed,91
193,58,Data Analysis with SQL,Technical,20,2022-07-27,2022-09-08,Completed,84
194,58,Advanced Python,Technical,24,2023-08-30,2023-11-11,Completed,71
195,58,Agile & Scrum,Professional,16,2022-07-24,2022-08-12,Completed,97
196,58,Machine Learning Basics,Technical,24,2023-08-19,2023-10-12,Completed,83
197,58,Public Speaking,Soft Skills,12,2022-08-26,2022-09-14,Completed,70
198,59,Diversity & Inclusion,Compliance,4,2023-11-05,2024-01-14,Completed,100
199,59,Negotiation Skills,Professional,12,2025-06-27,2025-07-22,Completed,81
200,59,Data Analysis with SQL,Technical,20,2023-12-03,2023-12-31,Completed,82
201,60,Financial Modeling,Technical,20,2024-05-13,,Enrolled,
202,60,Communication Skills,Soft Skills,8,2022-12-08,2023-01-07,Completed,92
203,60,Sales Methodology,Sales,16,2022-05-01,2022-05-28,Completed,83
204,60,Cybersecurity Awareness,Compliance,4,2025-04-24,2025-07-19,Completed,91
205,60,Negotiation Skills,Professional,12,2024-06-16,2024-08-17,Completed,94
206,61,Customer Service Excellence,Soft Skills,8,2022-09-25,2022-12-10,Completed,73
207,61,Leadership Fundamentals,Leadership,16,2024-04-22,2024-05-11,Completed,72
208,61,Diversity & Inclusion,Compliance,4,2023-06-20,,Enrolled,
209,61,Cybersecurity Awareness,Compliance,4,2023-10-06,2023-12-26,Completed,94
210,62,Diversity & Inclusion,Compliance,4,2024-11-29,,In Progress,
211,62,Public Speaking,Soft Skills,12,2025-06-20,2025-08-28,Completed,91
212,62,Cloud Architecture,Technical,32,2023-05-25,2023-07-22,Completed,91
213,63,Data Analysis with SQL,Technical,20,2022-01-24,,Enrolled,
214,63,Public Speaking,Soft Skills,12,2022-11-18,,In Progress,
215,63,Machine Learning Basics,Technical,24,2024-08-19,2024-09-23,Completed,72
216,63,Customer Service Excellence,Soft Skills,8,2024-10-03,2024-11-16,Completed,80
217,63,Leadership Fundamentals,Leadership,16,2023-07-24,2023-10-10,Completed,77
218,64,Sales Methodology,Sales,16,2025-01-09,,In Progress,
219,64,Public Speaking,Soft Skills,12,2025-01-11,2025-03-29,Completed,84
220,64,Project Management Basics,Professional,12,2024-11-04,2025-01-20,Completed,93
221,64,Advanced Python,Technical,24,2025-04-26,2025-05-23,Completed,82
222,64,Financial Modeling,Technical,20,2024-12-24,2025-03-19,Completed,87
223,65,Public Speaking,Soft Skills,12,2025-07-20,,In Progress,
224,65,Advanced Python,Technical,24,2025-07-29,2025-10-16,Completed,87
225,66,Diversity & Inclusion,Compliance,4,2023-11-30,2023-12-20,Completed,96
226,66,Negotiation Skills,Professional,12,2023-04-02,2023-05-28,Completed,87
227,66,Financial Modeling,Technical,20,2025-06-23,,In Progress,
228,67,Cybersecurity Awareness,Compliance,4,2022-08-22,2022-10-03,Completed,70
229,67,Diversity & Inclusion,Compliance,4,2023-12-01,2024-01-21,Completed,87
230,67,Cloud Architecture,Technical,32,2024-12-05,2025-01-01,Completed,71
231,67,Negotiation Skills,Professional,12,2022-12-03,2023-01-03,Completed,96
232,67,Financial Modeling,Technical,20,2024-04-18,2024-06-03,Completed,89
233,68,Project Management Basics,Professional,12,2023-03-18,2023-04-25,Completed,92
234,68,Advanced Python,Technical,24,2023-11-24,2024-01-30,Completed,71
235,68,Sales Methodology,Sales,16,2025-07-20,,Enrolled,
236,69,Agile & Scrum,Professional,16,2024-07-25,,Enrolled,
237,69,Financial Modeling,Technical,20,2025-04-21,,In Progress,
238,70,Financial Modeling,Technical,20,2022-04-10,,In Progress,
239,70,Leadership Fundamentals,Leadership,16,2024-06-05,,In Progress,
240,70,Machine Learning Basics,Technical,24,2024-09-16,,In Progress,
241,71,Cybersecurity Awareness,Compliance,4,2022-09-20,2022-11-22,Completed,91
242,71,Customer Service Excellence,Soft Skills,8,2025-05-14,,In Progress,
243,71,Data Analysis with SQL,Technical,20,2023-10-22,,In Progress,
244,72,Sales Methodology,Sales,16,2024-04-14,2024-06-04,Completed,84
245,72,Customer Service Excellence,Soft Skills,8,2025-06-05,2025-07-06,Completed,83
246,72,Cybersecurity Awareness,Compliance,4,2024-11-09,,Enrolled,
247,72,Project Management Basics,Professional,12,2025-04-08,,In Progress,
248,72,Communication Skills,Soft Skills,8,2024-01-04,,Enrolled,
249,73,Cybersecurity Awareness,Compliance,4,2023-03-22,2023-05-01,Completed,89
250,73,Negotiation Skills,Professional,12,2023-08-19,,Enrolled,
251,73,Machine Learning Basics,Technical,24,2023-12-09,,Enrolled,
252,73,Diversity & Inclusion,Compliance,4,2022-09-29,,Enrolled,
253,74,Machine Learning Basics,Technical,24,2025-07-28,2025-08-25,Completed,94
254,74,Negotiation Skills,Professional,12,2023-12-23,,In Progress,
255,74,Cybersecurity Awareness,Compliance,4,2024-09-10,,In Progress,
256,75,Diversity & Inclusion,Compliance,4,2025-03-23,2025-06-11,Completed,73
257,75,Cybersecurity Awareness,Compliance,4,2023-01-11,2023-02-12,Completed,71
258,75,Machine Learning Basics,Technical,24,2024-11-02,2024-12-11,Completed,78
259,75,Communication Skills,Soft Skills,8,2025-01-23,2025-03-14,Completed,91
260,75,Sales Methodology,Sales,16,2023-08-30,2023-09-20,Completed,92
261,76,Project Management Basics,Professional,12,2024-01-05,2024-02-01,Completed,89
262,76,Agile & Scrum,Professional,16,2025-02-24,2025-05-20,Completed,82
263,76,Machine Learning Basics,Technical,24,2023-05-02,,In Progress,
264,76,Leadership Fundamentals,Leadership,16,2023-08-13,,Enrolled,
265,77,Negotiation Skills,Professional,12,2024-10-09,2024-12-02,Completed,100
266,77,Sales Methodology,Sales,16,2025-01-01,2025-01-16,Completed,93
267,78,Project Management Basics,Professional,12,2023-12-25,,Enrolled,
268,78,Customer Service Excellence,Soft Skills,8,2025-04-29,,Enrolled,
269,78,Agile & Scrum,Professional,16,2025-03-02,2025-05-30,Completed,87
270,78,Financial Modeling,Technical,20,2025-06-03,,In Progress,
271,79,Agile & Scrum,Professional,16,2023-08-26,2023-10-01,Completed,91
272,79,Cybersecurity Awareness,Compliance,4,2022-06-02,2022-07-08,Completed,93
273,79,Project Management Basics,Professional,12,2024-11-18,2025-01-19,Completed,71
274,80,Communication Skills,Soft Skills,8,2025-04-11,2025-04-25,Completed,80
275,80,Machine Learning Basics,Technical,24,2024-08-13,,Enrolled,
276,80,Negotiation Skills,Professional,12,2022-11-14,2022-12-17,Completed,99
277,80,Data Analysis with SQL,Technical,20,2023-10-23,,In Progress,
278,80,Cybersecurity Awareness,Compliance,4,2022-04-15,,Enrolled,
279,81,Financial Modeling,Technical,20,2024-01-04,2024-02-27,Completed,86
280,81,Agile & Scrum,Professional,16,2023-03-27,2023-06-15,Completed,72
281,81,Customer Service Excellence,Soft Skills,8,2024-10-31,2025-01-06,Completed,87
282,81,Machine Learning Basics,Technical,24,2025-01-04,2025-01-29,Completed,81
283,82,Negotiation Skills,Professional,12,2023-11-11,2024-01-10,Completed,79
284,82,Project Management Basics,Professional,12,2023-03-24,,In Progress,
285,82,Diversity & Inclusion,Compliance,4,2024-12-22,2025-03-17,Completed,96
286,83,Advanced Python,Technical,24,2024-04-21,2024-06-04,Completed,98
287,83,Diversity & Inclusion,Compliance,4,2025-02-18,,In Progress,
288,84,Leadership Fundamentals,Leadership,16,2024-02-21,2024-04-24,Completed,78
289,84,Diversity & Inclusion,Compliance,4,2025-01-11,,Enrolled,
290,84,Cloud Architecture,Technical,32,2023-08-03,2023-10-22,Completed,96
291,85,Machine Learning Basics,Technical,24,2024-09-23,2024-11-13,Completed,98
292,85,Agile & Scrum,Professional,16,2023-01-30,2023-04-19,Completed,72
293,85,Negotiation Skills,Professional,12,2022-07-16,2022-10-06,Completed,87
294,85,Financial Modeling,Technical,20,2022-01-16,,Enrolled,
295,86,Project Management Basics,Professional,12,2023-08-19,,Enrolled,
296,86,Diversity & Inclusion,Compliance,4,2024-10-24,2024-12-03,Completed,87
297,87,Diversity & Inclusion,Compliance,4,2022-11-11,2023-01-22,Completed,92
298,87,Public Speaking,Soft Skills,12,2023-11-11,2023-12-06,Completed,72
299,87,Advanced Python,Technical,24,2022-04-22,2022-06-07,Completed,87
300,87,Cybersecurity Awareness,Compliance,4,2022-05-25,,In Progress,
301,87,Negotiation Skills,Professional,12,2023-04-12,2023-06-17,Completed,82
302,88,Diversity & Inclusion,Compliance,4,2024-04-18,,Enrolled,
303,88,Sales Methodology,Sales,16,2022-10-11,,In Progress,
304,88,Public Speaking,Soft Skills,12,2022-02-23,,Enrolled,
305,88,Cloud Architecture,Technical,32,2025-07-31,2025-10-27,Completed,71
306,88,Leadership Fundamentals,Leadership,16,2022-07-09,2022-09-25,Completed,73
307,89,Agile & Scrum,Professional,16,2024-06-27,2024-09-05,Completed,82
308,89,Diversity & Inclusion,Compliance,4,2024-12-02,,Enrolled,
309,89,Communication Skills,Soft Skills,8,2024-05-29,2024-07-02,Completed,87
310,89,Customer Service Excellence,Soft Skills,8,2024-09-03,2024-11-06,Completed,95
311,90,Diversity & Inclusion,Compliance,4,2024-02-04,2024-04-28,Completed,97
312,90,Data Analysis with SQL,Technical,20,2025-02-10,2025-03-11,Completed,71
313,90,Communication Skills,Soft Skills,8,2022-01-11,,In Progress,
314,90,Negotiation Skills,Professional,12,2025-05-06,2025-07-27,Completed,87
315,91,Communication Skills,Soft Skills,8,2023-12-06,2024-02-10,Completed,98
316,91,Project Management Basics,Professional,12,2024-11-15,2024-12-19,Completed,75
317,92,Customer Service Excellence,Soft Skills,8,2023-02-02,2023-03-11,Completed,91
318,92,Public Speaking,Soft Skills,12,2025-03-07,2025-05-30,Completed,84
319,92,Communication Skills,Soft Skills,8,2025-01-30,2025-03-22,Completed,91
320,93,Communication Skills,Soft Skills,8,2023-02-09,,Enrolled,
321,93,Advanced Python,Technical,24,2025-04-04,2025-05-30,Completed,81
322,94,Diversity & Inclusion,Compliance,4,2022-07-24,2022-08-15,Completed,98
323,94,Negotiation Skills,Professional,12,2023-02-01,2023-04-18,Completed,84
324,94,Project Management Basics,Professional,12,2023-11-04,,In Progress,
325,95,Cybersecurity Awareness,Compliance,4,2025-07-08,2025-08-31,Completed,100
326,95,Customer Service Excellence,Soft Skills,8,2024-09-28,2024-10-12,Completed,80
327,95,Data Analysis with SQL,Technical,20,2023-09-21,2023-11-29,Completed,78
328,95,Public Speaking,Soft Skills,12,2024-05-10,2024-07-05,Completed,98
329,96,Financial Modeling,Technical,20,2024-07-31,2024-09-05,Completed,90
330,96,Negotiation Skills,Professional,12,2024-09-26,2024-11-14,Completed,97
331,96,Cloud Architecture,Technical,32,2025-05-09,2025-07-30,Completed,76
332,96,Communication Skills,Soft Skills,8,2023-10-10,,Enrolled,
333,96,Public Speaking,Soft Skills,12,2025-07-09,,Enrolled,
334,97,Cybersecurity Awareness,Compliance,4,2022-02-08,,In Progress,
335,97,Advanced Python,Technical,24,2025-07-17,2025-10-13,Completed,88
336,98,Agile & Scrum,Professional,16,2023-06-18,,In Progress,
337,98,Customer Service Excellence,Soft Skills,8,2025-01-10,2025-02-12,Completed,81
338,98,Project Management Basics,Professional,12,2024-03-14,2024-06-11,Completed,93
339,98,Leadership Fundamentals,Leadership,16,2023-08-19,2023-10-31,Completed,86
340,98,Machine Learning Basics,Technical,24,2024-11-11,2025-01-14,Completed,81
341,99,Diversity & Inclusion,Compliance,4,2025-06-11,,Enrolled,
342,99,Project Management Basics,Professional,12,2022-12-06,,In Progress,
343,100,Financial Modeling,Technical,20,2024-09-22,,In Progress,
344,100,Data Analysis with SQL,Technical,20,2024-12-27,2025-03-12,Completed,100
345,100,Public Speaking,Soft Skills,12,2024-02-23,2024-04-05,Completed,94
346,101,Project Management Basics,Professional,12,2022-03-29,,Enrolled,
347,101,Advanced Python,Technical,24,2023-02-28,,In Progress,
348,101,Communication Skills,Soft Skills,8,2024-01-10,2024-03-24,Completed,99
349,101,Cloud Architecture,Technical,32,2024-07-20,2024-08-08,Completed,90
350,101,Negotiation Skills,Professional,12,2023-10-26,2024-01-14,Completed,90
351,102,Public Speaking,Soft Skills,12,2025-01-19,,In Progress,
352,102,Cybersecurity Awareness,Compliance,4,2022-12-23,2023-02-23,Completed,81
353,102,Communication Skills,Soft Skills,8,2025-04-18,,Enrolled,
354,102,Customer Service Excellence,Soft Skills,8,2022-06-09,,In Progress,
355,103,Sales Methodology,Sales,16,2023-12-24,2024-03-09,Completed,95
356,103,Project Management Basics,Professional,12,2024-09-14,,In Progress,
357,103,Machine Learning Basics,Technical,24,2022-01-14,,In Progress,
358,103,Negotiation Skills,Professional,12,2022-10-12,2022-11-16,Completed,77
359,104,Machine Learning Basics,Technical,24,2023-07-30,2023-09-01,Completed,75
360,104,Diversity & Inclusion,Compliance,4,2022-11-19,2022-12-18,Completed,91
361,105,Sales Methodology,Sales,16,2022-08-21,2022-11-04,Completed,85
362,105,Agile & Scrum,Professional,16,2023-03-08,,In Progress,
363,105,Cloud Architecture,Technical,32,2022-11-27,,Enrolled,
364,106,Leadership Fundamentals,Leadership,16,2023-05-03,2023-07-21,Completed,71
365,106,Project Management Basics,Professional,12,2023-04-04,2023-05-09,Completed,78
366,106,Negotiation Skills,Professional,12,2023-06-11,,In Progress,
