review_id,emp_id,review_year,rating,goals_met_pct,reviewer_comments,review_date
147,60,2024,4,76,Exceeds expectations. Strong contributor to team goals.,2024-12-15
148,61,2022,3,81,Meets expectations consistently. Solid contributor.,2022-12-15
149,61,2023,3,56,Reliable performance across assigned tasks.,2023-12-15
150,61,2024,3,75,Meets expectations consistently. Solid contributor.,2024-12-15
151,62,2022,4,79,Demonstrates leadership potential and initiative.,2022-12-15
152,62,2023,2,39,Partially meets expectations. Development plan needed.,2023-12-15
153,62,2024,2,43,Partially meets expectations. Development plan needed.,2024-12-15
154,63,2022,5,100,Exceptional performance. Top contributor.,2022-12-15
155,63,2023,4,75,Demonstrates leadership potential and initiative.,2023-12-15
156,63,2024,5,97,Exceptional performance. Top contributor.,2024-12-15
157,64,2024,4,78,Demonstrates leadership potential and initiative.,2024-12-15
158,66,2022,3,60,Meets expectations consistently. Solid contributor.,2022-12-15
159,66,2023,4,81,Exceeds expectations. Strong contributor to team goals.,2023-12-15
160,66,2024,3,64,Meets expectations consistently. Solid contributor.,2024-12-15
161,67,2022,4,85,Demonstrates leadership potential and initiative.,2022-12-15
162,67,2023,3,54,Reliable performance across assigned tasks.,2023-12-15
163,67,2024,3,59,Reliable performance across assigned tasks.,2024-12-15
164,68,2022,4,73,Demonstrates leadership potential and initiative.,2022-12-15
165,68,2023,4,73,Exceeds expectations. Strong contributor to team goals.,2023-12-15
166,68,2024,4,94,Demonstrates leadership potential and initiative.,2024-12-15
167,69,2022,5,89,Outstanding results and team impact. Promotion candidate.,2022-12-15
168,69,2023,3,57,Reliable performance across assigned tasks.,2023-12-15
169,69,2024,3,60,Reliable performance across assigned tasks.,2024-12-15
170,70,2022,4,85,Exceeds expectations. Strong contributor to team goals.,2022-12-15
171,70,2023,4,73,Exceeds expectations. Strong contributor to team goals.,2023-12-15
172,70,2024,4,86,Demonstrates leadership potential and initiative.,2024-12-15
173,71,2022,3,69,Meets expectations consistently. Solid contributor.,2022-12-15
174,71,2023,5,100,Exceptional performance. Top contributor.,2023-12-15
175,71,2024,4,84,Demonstrates leadership potential and initiative.,2024-12-15
176,72,2023,4,89,Demonstrates leadership potential and initiative.,2023-12-15
177,72,2024,4,86,Exceeds expectations. Strong contributor to team goals.,2024-12-15
178,73,2022,4,74,Exceeds expectations. Strong contributor to team goals.,2022-12-15
179,73,2023,3,62,Meets expectations consistently. Solid contributor.,2023-12-15
180,73,2024,4,91,Demonstrates leadership potential and initiative.,2024-12-15
181,74,2022,4,84,Demonstrates leadership potential and initiative.,2022-12-15
182,74,2023,4,84,Exceeds expectations. Strong contributor to team goals.,2023-12-15
183,74,2024,4,76,Demonstrates leadership potential and initiative.,2024-12-15
184,75,2023,3,66,Meets expectations consistently. Solid contributor.,2023-12-15
185,75,2024,3,72,Reliable performance across assigned tasks.,2024-12-15
186,76,2022,5,99,Exceptional performance. Top contributor.,2022-12-15
187,76,2023,4,95,Exceeds expectations. Strong contributor to team goals.,2023-12-15
188,76,2024,3,63,Reliable performance across assigned tasks.,2024-12-15
189,77,2024,5,93,Exceptional performance. Top contributor.,2024-12-15
190,78,2023,4,76,Exceeds expectations. Strong contributor to team goals.,2023-12-15
191,78,2024,4,73,Exceeds expectations. Strong contributor to team goals.,2024-12-15
192,79,2022,3,59,Reliable performance across assigned tasks.,2022-12-15
193,79,2023,3,62,Meets expectations consistently. Solid contributor.,2023-12-15
194,79,2024,3,79,Reliable performance across assigned tasks.,2024-12-15
195,80,2022,5,100,Exceptional performance. Top contributor.,2022-12-15
196,80,2023,4,81,Exceeds expectations. Strong contributor to team goals.,2023-12-15
197,80,2024,3,60,Reliable performance across assigned tasks.,2024-12-15
198,81,2022,4,67,Demonstrates leadership potential and initiative.,2022-12-15
199,81,2023,4,79,Exceeds expectations. Strong contributor to team goals.,2023-12-15
200,81,2024,4,84,Demonstrates leadership potential and initiative.,2024-12-15
201,82,2022,4,88,Demonstrates leadership potential and initiative.,2022-12-15
202,82,2023,3,57,Meets expectations consistently. Solid contributor.,2023-12-15
203,82,2024,5,100,Outstanding results and team impact. Promotion candidate.,2024-12-15
204,83,2023,4,79,Demonstrates leadership potential and initiative.,2023-12-15
205,83,2024,5,100,Outstanding results and team impact. Promotion candidate.,2024-12-15
206,84,2022,4,74,Demonstrates leadership potential and initiative.,2022-12-15
207,84,2023,3,67,Meets expectations consistently. Solid contributor.,2023-12-15
208,84,2024,4,75,Demonstrates leadership potential and initiative.,2024-12-15
209,85,2022,4,92,Exceeds expectations. Strong contributor to team goals.,2022-12-15
210,85,2023,2,37,Shows potential but inconsistent delivery.,2023-12-15
211,85,2024,1,32,Performance below expectations. PIP recommended.,2024-12-15
212,86,2023,1,25,Performance below expectations. PIP recommended.,2023-12-15
213,86,2024,3,62,Reliable performance across assigned tasks.,2024-12-15
214,87,2022,3,60,Reliable performance across assigned tasks.,2022-12-15
215,87,2023,2,43,Partially meets expectations. Development plan needed.,2023-12-15
216,87,2024,2,48,Shows potential but inconsistent delivery.,2024-12-15
217,88,2022,4,82,Exceeds expectations. Strong contributor to team goals.,2022-12-15
218,88,2023,4,73,Exceeds expectations. Strong contributor to team goals.,2023-12-15
219,88,2024,3,73,Reliable performance across assigned tasks.,2024-12-15
220,89,2024,1,33,Performance below expectations. PIP recommended.,2024-12-15
221,90,2022,4,90,Exceeds expectations. Strong contributor to team goals.,2022-12-15
222,90,2023,4,81,Exceeds expectations. Strong contributor to team goals.,2023-12-15
223,90,2024,3,63,Reliable performance across assigned tasks.,2024-12-15
224,91,2022,3,60,Reliable performance across assigned tasks.,2022-12-15
225,91,2023,3,65,Meets expectations consistently. Solid contributor.,2023-12-15
226,91,2024,4,68,Exceeds expectations. Strong contributor to team goals.,2024-12-15
227,92,2022,2,35,Partially meets expectations. Development plan needed.,2022-12-15
228,92,2023,4,77,Exceeds expectations. Strong contributor to team goals.,2023-12-15
229,92,2024,4,86,Demonstrates leadership potential and initiative.,2024-12-15
230,93,2022,5,100,Exceptional performance. Top contributor.,2022-12-15
231,93,2023,5,100,Outstanding results and team impact. Promotion candidate.,2023-12-15
232,93,2024,3,67,Reliable performance across assigned tasks.,2024-12-15
233,94,2022,3,68,Meets expectations consistently. Solid contributor.,2022-12-15
234,94,2023,3,68,Reliable performance across assigned tasks.,2023-12-15
235,94,2024,4,76,Demonstrates leadership potential and initiative.,2024-12-15
236,95,2022,3,49,Meets expectations consistently. Solid contributor.,2022-12-15
237,95,2023,4,81,Exceeds expectations. Strong contributor to team goals.,2023-12-15
238,95,2024,4,84,Exceeds expectations. Strong contributor to team goals.,2024-12-15
239,96,2023,3,62,Meets expectations consistently. Solid contributor.,2023-12-15
240,96,2024,5,97,Outstanding results and team impact. Promotion candidate.,2024-12-15
241,97,2022,3,70,Reliable performance across assigned tasks.,2022-12-15
242,97,2023,4,74,Exceeds expectations. Strong contributor to team goals.,2023-12-15
243,97,2024,4,95,Exceeds expectations. Strong contributor to team goals.,2024-12-15
244,98,2022,4,78,Exceeds expectations. Strong contributor to team goals.,2022-12-15
245,98,2023,3,66,Reliable performance across assigned tasks.,2023-12-15
246,98,2024,4,82,Demonstrates leadership potential and initiative.,2024-12-15
247,99,2022,4,72,Exceeds expectations. Strong contributor to team goals.,2022-12-15
248,99,2023,3,70,Reliable performance across assigned tasks.,2023-12-15
249,99,2024,2,65,Partially meets expectations. Development plan needed.,2024-12-15
250,100,2023,4,71,Demonstrates leadership potential and initiative.,2023-12-15
251,100,2024,4,82,Exceeds expectations. Strong contributor to team goals.,2024-12-15
252,101,2022,3,52,Reliable performance across assigned tasks.,2022-12-15
253,101,2023,4,83,Exceeds expectations. Strong contributor to team goals.,2023-12-15
254,101,2024,5,97,Exceptional performance. Top contributor.,2024-12-15
255,102,2022,4,76,Exceeds expectations. Strong contributor to team goals.,2022-12-15
256,102,2023,3,59,Meets expectations consistently. Solid contributor.,2023-12-15
257,102,2024,4,92,Demonstrates leadership potential and initiative.,2024-12-15
258,103,2022,3,80,Meets expectations consistently. Solid contributor.,2022-12-15
259,103,2023,4,91,Exceeds expectations. Strong contributor to team goals.,2023-12-15
260,103,2024,4,72,Exceeds expectations. Strong contributor to team goals.,2024-12-15
261,104,2022,3,55,Reliable performance across assigned tasks.,2022-12-15
262,104,2023,4,86,Exceeds expectations. Strong contributor to team goals.,2023-12-15
263,104,2024,4,79,Exceeds expectations. Strong contributor to team goals.,2024-12-15
264,105,2022,3,63,Reliable performance across assigned tasks.,2022-12-15
265,105,2023,4,91,Exceeds expectations. Strong contributor to team goals.,2023-12-15
266,105,2024,3,56,Meets expectations consistently. Solid contributor.,2024-12-15
267,106,2023,2,49,Shows potential but inconsistent delivery.,2023-12-15
268,106,2024,3,59,Meets expectations consistently. Solid contributor.,2024-12-15
269,107,2022,3,66,Reliable performance across assigned tasks.,2022-12-15
270,107,2023,3,63,Meets expectations consistently. Solid contributor.,2023-12-15
271,107,2024,4,80,Exceeds expectations. Strong contributor to team goals.,2024-12-15
272,108,2023,4,75,Exceeds expectations. Strong contributor to team goals.,2023-12-15
273,108,2024,4,86,Exceeds expectations. Strong contributor to team goals.,2024-12-15
274,109,2022,5,97,Exceptional performance. Top contributor.,2022-12-15
275,109,2023,5,100,Outstanding results and team impact. Promotion candidate.,2023-12-15
276,109,2024,3,53,Reliable performance across assigned tasks.,2024-12-15
277,110,2023,1,31,Performance below expectations. PIP recommended.,2023-12-15
278,110,2024,4,91,Exceeds expectations. Strong contributor to team goals.,2024-12-15
279,111,2022,4,74,Exceeds expectations. Strong contributor to team goals.,2022-12-15
280,111,2023,4,76,Exceeds expectations. Strong contributor to team goals.,2023-12-15
281,111,2024,3,65,Reliable performance across assigned tasks.,2024-12-15
282,112,2024,4,81,Exceeds expectations. Strong contributor to team goals.,2024-12-15
283,114,2024,5,100,Outstanding results and team impact. Promotion candidate.,2024-12-15
284,117,2024,3,64,Meets expectations consistently. Solid contributor.,2024-12-15
285,118,2022,4,100,Exceeds expectations. Strong contributor to team goals.,2022-12-15
286,118,2023,4,76,Exceeds expectations. Strong contributor to team goals.,2023-12-15
287,118,2024,2,47,Shows potential but inconsistent delivery.,2024-12-15
288,119,2022,4,97,Demonstrates leadership potential and initiative.,2022-12-15
289,119,2023,4,81,Exceeds expectations. Strong contributor to team goals.,2023-12-15
290,119,2024,4,71,Demonstrates leadership potential and initiative.,2024-12-15
291,120,2022,2,38,Partially meets expectations. Development plan needed.,2022-12-15
292,120,2023,3,60,Reliable performance across assigned tasks.,2023-12-15
293,120,2024,5,100,Outstanding results and team impact. Promotion candidate.,2024-12-15
